,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Jonathan India,28.3,2.000,17602023,,760000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Tyler Stephenson,28.6,2.056,17402023,,740000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jake Fraley,29.8,2.097,17402023,,740000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Nick Lodolo,27.1,1.000,17302023,,730000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Alexis DÃ­az,28.5,1.000,17302023,,730000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Vladimir Gutierrez,29.5,1.127,17302023,,730000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Sam Moll,33.2,1.075,17252023,,725000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,TJ Friedl,29.6,0.112,172252023,,722500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Graham Ashcraft,27.1,0.136,172252023,,722500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Reiver Sanmartin,28.9,0.147,172252023,,722500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Stuart Fairchild,29.0,0.136,172252023,,722500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Spencer Steer,27.3,0.035,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Matt McLain,25.6,,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
13,Elly De La Cruz,23.2,0.000,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
14,Estimated salaries for other pre-arbitration players,3600000,,,,,,,,,,
